Company,Symbol,Weight,Price,,,,,,,,,,,,,,,,,,,,Country
Freeport-McMoRan,FCX,0.13%,52.09,,,,,,,,,,,,,,,,,,,,USA
EOG Resources,EOG,0.13%,138.73,,,,,,,,,,,,,,,,,,,,USA
3M,MMM,0.13%,141.2,,,,,,,,,,,,,,,,,,,,USA
Illinois Tool Works,ITW,0.13%,257.68,,,,,,,,,,,,,,,,,,,,USA
Cummins,CMI,0.13%,533.54,,,,,,,,,,,,,,,,,,,,USA
O'Reilly Auto Parts,ORLY,0.12%,87.3,,,,,,,,,,,,,,,,,,,,USA
Kinder Morgan,KMI,0.12%,32.84,,,,,,,,,,,,,,,,,,,,USA
Ecolab,ECL,0.12%,256.48,,,,,,,,,,,,,,,,,,,,USA
Monster Beverage,MNST,0.12%,73.69,,,,,,,,,,,,,,,,,,,,USA
Mondelez International,MDLZ,0.12%,56.21,,,,,,,,,,,,,,,,,,,,USA
Emerson Electric,EMR,0.12%,128.15,,,,,,,,,,,,,,,,,,,,USA
Cintas,CTAS,0.12%,179.34,,,,,,,,,,,,,,,,,,,,USA
Valero Energy,VLO,0.12%,239.86,,,,,,,,,,,,,,,,,,,,USA
Royal Caribbean Group,RCL,0.12%,263.65,,,,,,,,,,,,,,,,,,,,USA
CSX Corporation,CSX,0.12%,38.17,,,,,,,,,,,,,,,,,,,,USA
Phillips 66,PSX,0.12%,175.47,,,,,,,,,,,,,,,,,,,,USA
Schlumberger,SLB,0.12%,46.63,,,,,,,,,,,,,,,,,,,,USA
Aon,AON,0.12%,325.63,,,,,,,,,,,,,,,,,,,,USA
Cigna,CI,0.12%,262.84,,,,,,,,,,,,,,,,,,,,USA
Marathon Petroleum,MPC,0.12%,232.53,,,,,,,,,,,,,,,,,,,,USA
Ross Stores,ROST,0.12%,211.19,,,,,,,,,,,,,,,,,,,,USA
Colgate-Palmolive,CL,0.12%,85.12,,,,,,,,,,,,,,,,,,,,USA
DoorDash,DASH,0.12%,156.64,,,,,,,,,,,,,,,,,,,,USA
Warner Bros. Discovery,WBD,0.12%,27.42,,,,,,,,,,,,,,,,,,,,USA
