Company Name,Industry,Symbol,Series,ISIN Code,Country
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,India
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,India
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,India
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021,India
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,India
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010,India
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036,India
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,India
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016,India
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024,India
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039,India
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,India
Vishal Mega Mart Ltd.,Consumer Services,VMM,EQ,INE01EA01019,India
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016,India
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021,India
Waaree Energies Ltd.,Capital Goods,WAAREEENER,EQ,INE377N01017,India
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,India
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035,India
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027,India
